Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
7.343743;18.690534;11.106204;1.972655
8.028923;17.694124;19.071571;6.023185
7.765791;12.621589;16.216144;17.30299
5.942989;33.223967;13.596667;0.104381
8.383282;39.183552;12.689136;0.198901
8.119118;23.624909;12.845036;1.336004
7.643253;21.685011;12.503502;1.438727
5.282975;15.887128;13.358802;1.218092
9.958588;23.243002;18.911491;4.748309
5.417088;13.053200;11.201291;2.475673
6.293774;22.951859;16.047024;0.677342
9.241094;31.435540;15.808173;0.880937
9.120170;15.244629;15.256078;14.55093
7.224142;31.050218;19.585195;0.428956
8.660441;20.547138;19.710543;4.635150
9.020852;36.672255;19.739799;0.539972
8.841862;36.845072;10.212990;0.253098
7.099806;26.346596;16.698119;0.657425
6.670661;31.699296;11.124876;0.163235
9.305788;15.575214;15.105234;14.33204
9.421376;27.364122;12.733330;1.334097
9.289874;34.236132;17.577672;0.711431
7.169435;16.909233;10.267286;2.472311
9.930891;32.433886;15.094142;0.989739
5.976643;21.844688;15.943172;0.666910
5.357261;18.328102;14.837545;0.808223
6.134022;16.252789;11.900482;1.799681
7.429409;24.811708;15.015654;0.900623
8.252103;24.144686;12.925584;1.315075
6.663981;38.237011;15.496712;0.107249
5.173667;39.156348;19.090231;0.043910
5.926226;11.187019;18.938893;11.10700
7.946326;30.654310;17.876887;0.602841
6.815094;34.224288;12.519338;0.147386
9.141231;24.119041;11.130233;1.711739
7.978566;34.965110;10.686275;0.216603
7.446357;11.820109;16.320692;19.13823
7.636672;32.855654;19.963759;0.435533
6.441973;33.164408;12.558993;0.133908
9.963236;18.608191;15.812321;9.677417
5.241444;20.426469;16.468092;0.533234
6.031337;25.978051;18.589360;0.403738
6.437240;25.437711;17.417327;0.533530
6.318603;21.764060;15.205501;0.806140
8.213896;33.884224;19.495024;0.503005
7.538918;15.079845;18.308727;8.518066
6.104456;18.789050;13.650454;1.134338
9.891473;37.987958;18.875692;0.647977
7.292529;34.409925;11.688225;0.176414
9.859737;26.868404;11.526128;1.558054
6.145811;25.007258;17.713216;0.482772
8.503337;14.766550;16.171025;13.24056
8.750523;10.314878;12.708873;48.99345
7.868680;21.066605;11.640376;1.688782
7.530137;17.106544;19.677422;5.504152
8.053868;24.454402;13.528531;1.186970
5.859488;10.784892;18.804285;12.20113
7.834900;20.187703;11.122002;1.880568
9.966346;21.379279;17.653495;6.210142
8.026021;30.855449;17.851591;0.610310
6.985096;17.372120;10.944554;2.131803
5.213844;36.873304;17.487848;0.052664
7.030872;31.742442;10.433219;0.187801
8.294607;25.005990;13.414780;1.211087
5.243421;13.896852;12.111060;1.829519
5.367548;21.764840;17.108131;0.472785
6.294767;10.781230;17.931286;15.51584
7.305076;21.020341;12.736741;1.385147
8.082911;16.931176;18.454962;7.140226
5.681875;25.582028;19.024268;0.346201
6.574495;34.852146;13.419107;0.127319
6.205191;13.989418;10.249231;2.955729
5.657833;33.182188;14.139126;0.089684
6.707424;23.091105;15.312554;0.813534
9.064344;35.148745;18.637142;0.615621
8.390039;11.386071;14.143970;31.04073
7.852634;18.798421;10.160346;2.305186
5.850832;35.145173;15.061785;0.086852
6.716995;38.549662;15.599118;0.107864
8.437725;16.764843;17.634445;8.427405
9.252805;39.539052;11.187091;0.250774
6.242549;18.264831;13.024790;1.325207
5.136880;30.401783;13.327429;0.081532
8.392366;37.276281;11.399455;0.218991
5.518170;23.229753;17.783496;0.423191
6.670329;34.389798;12.919207;0.136955
7.175703;10.872141;16.230020;22.92800
5.077646;19.587705;16.236511;0.547544
9.284957;27.117744;12.841915;1.316011
6.087362;39.664640;17.601702;0.073424
7.119078;34.180219;11.881990;0.167331
9.611457;31.632406;15.198690;0.966513
7.670326;21.476375;12.310264;1.493236
8.415952;12.308958;14.707403;23.92744
7.978140;11.236071;14.867767;28.13262
5.027600;23.553165;18.980244;0.294796
9.000466;34.235609;18.156142;0.647646
8.142633;10.431721;14.002547;38.69201
6.075182;17.867207;13.094441;1.305073
7.846348;22.119384;12.386893;1.462184
6.244151;14.298615;10.377442;2.811751
8.799380;37.768709;10.913713;0.240351
6.808562;31.056781;10.420729;0.180030
6.610654;18.827897;12.663957;1.434892
8.285242;32.016258;18.107022;0.606460
9.940621;21.017840;17.463985;6.509238
7.845504;21.584362;12.031899;1.565602
7.043099;27.223773;17.396318;0.582018
8.804336;25.917860;13.003234;1.291161
9.140098;15.720473;15.533452;13.21692
5.201234;15.655981;13.368185;1.214392
5.008656;15.639718;13.742500;1.078180
6.117905;21.638041;15.522883;0.740400
6.528620;14.614436;10.019050;2.972539
8.773216;31.316397;16.664499;0.766161
5.742548;39.107289;17.919764;0.062708
5.076964;16.471521;14.160419;0.953450
8.638505;34.466161;19.033763;0.561087
7.776437;11.776237;15.631284;22.12791
8.573091;19.507054;19.191853;5.334106
8.191845;20.892699;10.878110;1.916053
6.217121;31.193525;11.694774;0.138170
8.020120;33.902597;19.894826;0.465656
6.995549;17.266537;10.853261;2.179150
8.562797;31.401809;17.142278;0.707569
6.963038;13.219740;18.220416;10.44367
8.534864;32.513043;17.938967;0.636099
7.241881;30.873230;19.431724;0.439699
8.729284;21.855034;10.444787;1.981016
9.036744;21.595580;19.656898;4.490792
9.389573;17.150462;15.987828;10.69625
9.710001;18.366700;16.157798;9.399898
9.775650;27.277966;11.967345;1.471555
8.870647;26.430278;13.212225;1.250122
7.193574;12.466228;17.257003;14.24722
5.453426;11.770343;10.273378;3.526466
9.433986;27.208050;12.604061;1.358324
8.526226;21.573885;10.663472;1.938683
5.107124;15.260023;13.292434;1.243532
5.577549;12.211913;10.319511;3.345169
8.824825;22.805437;10.887308;1.819347
5.132605;23.648368;18.833702;0.312592
6.273310;33.669845;13.233278;0.119509
5.144859;21.397270;17.308463;0.432305
5.886128;34.008659;14.233516;0.095825
7.110422;28.540501;18.139490;0.522040
8.493552;19.994365;19.675807;4.773759
6.141706;16.861939;12.291214;1.612642
9.642736;20.992562;18.042903;5.983564
7.235593;12.128782;16.948003;15.98274
9.950636;17.081644;14.819825;12.70713
5.361960;39.769448;19.122378;0.047661
5.366196;38.655483;18.371263;0.051422
7.502091;38.360153;13.902587;0.152310
9.654503;11.226684;11.508783;46.84792
5.027030;23.105090;18.682667;0.313140
5.779260;13.866112;11.018888;2.477606
9.813014;23.790244;19.567469;4.220716
8.047857;27.426088;15.521678;0.858741
6.322203;28.796518;19.886605;0.345556
6.405756;28.504797;19.525018;0.372343
5.603623;30.711132;12.600175;0.104692
